NDVI,NDBI,LST,Vegetation,Water,BuiltUp,PopulationDensity,Albedo,HeatScore
0.33090508913552186,0.8605714451279329,42.6398788362281,43.91280147280738,3.964354168406294,30.919616423534187,4926,0.2148122229914668,74.62
0.5381663547116396,0.1451292632216802,42.43997544533649,66.00592608602376,1.0147965509792722,89.45480915038523,18068,0.1760605607398844,56.56
0.44356732372417834,0.4455560149136927,33.82458280396084,44.77043815695467,3.6503833523887947,40.45012539746527,689,0.1226516086332052,40.82
0.7874231643550912,0.473410314598384,45.19880813472641,49.219990008205684,9.559485787421316,20.928547281190657,9292,0.3414080082686398,39.79
0.6562980110873459,0.34369101533869656,29.95344228012768,49.4751467232902,9.362897381052425,28.542676439134517,17659,0.1085971302788046,20.59
0.5468917132654865,0.34936886087152874,38.40136042355621,40.53616815731318,4.512234654985013,87.8709239435191,7373,0.2124385333424414,61.18
0.3463626770013608,0.8413270926350354,42.54543991712842,26.2251499723793,11.838435513702589,56.458398201807654,24753,0.1813325826908161,90.61
0.671553131863947,0.38540266135487145,33.61869019374762,40.27524540528615,3.6775602745204905,76.15378865278278,16948,0.10390910168529849,49.19
0.36755111052977724,0.4159052145404558,33.86976349436076,5.915188476480489,4.778005677687299,69.7939366924055,13166,0.1185111629335226,75.13
0.6973275694066952,0.5986385014620463,34.617960497052984,9.131292768591535,6.908664112597582,42.76283254187229,19615,0.2593893678388033,57.81
0.715409556932245,0.4777719401295595,30.391884918766035,51.36091116949468,15.454915923721051,59.28940382986474,7410,0.164017080690331,22.47
0.20128940175154714,0.8166108765388155,37.50740446364223,41.61291217846494,14.214805642096422,29.753201808411298,6874,0.2025957307589074,64.05
0.6166633539072865,0.283038532393298,29.53959819657586,23.833844439394923,4.0632044578260835,85.07883566398012,10289,0.25835093912760587,46.74
0.1899275441645269,0.8140471987919823,38.786844838313016,57.48361008566406,18.025734698546373,42.26024324803047,24276,0.16803306234615883,70.93
0.5357675904060217,0.10041630159625266,35.05137712668338,24.81078178027189,4.128461209715892,57.38625935628094,21297,0.15552695261768257,50.38
0.7571822779343894,0.35856234561660416,38.37581243486732,50.69623232818656,7.908962445206585,88.02474579046725,18175,0.16294557395634102,48.02
0.4229363794192891,0.34070264785341575,33.69680988754935,7.3976515780446315,12.58172234561804,55.1875316260203,14377,0.1082626832251371,64.03
0.5605290886660752,0.5247476666537091,36.95566329146183,40.938050789636314,12.261237753708476,25.659732843290065,11947,0.15940938599809992,39.09
0.5961622614588947,0.39422650617540256,40.64611661187159,46.17943119945816,11.17971899742041,26.32028390380858,9839,0.22704969418517965,40.4
0.29446917890141355,0.27619283805243866,42.22299064876036,57.6175679990815,7.624653758542858,26.732358576399452,9180,0.27273443452561646,48.25
0.34005150972540304,0.8493839909893877,30.750418882919867,27.169312818266803,3.155996903571192,84.7285532794994,20945,0.2739460998362705,82.41
0.7866262574970767,0.5133087130168115,33.21658349660818,69.75649048426509,19.342967674487078,59.08054175249683,7658,0.18475744776217518,13.47
0.31190718095949566,0.6807645430961915,45.94220519905154,62.66061757723263,15.817635371294854,64.94221523080014,13374,0.3339087485552369,72.68
0.48551496607734096,0.3978262132493945,46.802668849155566,68.28814938909562,6.394498520011848,41.375470224107545,12469,0.2729737994231733,55.26
